Compartment,Datetime,Depth,Moisture_m3_m3,Temp_C,Remove
WBHW,01-03-2007  9:00:00 PM,10cm,,,
WBHW,01-03-2008  12:00:00 AM,25cm,0.12804,,
WBHW,01-03-2008  12:00:00 AM,10cm,0.13822,2.03,
WBHW,01-03-2008  12:00:00 AM,vertical,0.16028,,
WBHW,01-03-2008  12:00:00 PM,25cm,0.12804,,
WBHW,01-03-2008  12:00:00 PM,10cm,0.13907,2.03,
WBHW,01-03-2008  12:00:00 PM,vertical,0.16028,,
WBHW,01-03-2008  3:00:00 AM,25cm,0.12804,,
WBHW,01-03-2008  3:00:00 AM,10cm,0.13822,2.03,
WBHW,01-03-2008  3:00:00 AM,vertical,0.16028,,
WBHW,01-03-2008  3:00:00 PM,25cm,0.12762,,
WBHW,01-03-2008  3:00:00 PM,10cm,0.13865,2.03,
WBHW,01-03-2008  3:00:00 PM,vertical,0.15943,,
WBHW,01-03-2008  6:00:00 AM,25cm,0.12804,,
WBHW,01-03-2008  6:00:00 AM,10cm,0.13865,2.03,
WBHW,01-03-2008  6:00:00 AM,vertical,0.15986,,
WBHW,01-03-2008  6:00:00 PM,25cm,0.12804,,
WBHW,01-03-2008  6:00:00 PM,10cm,0.13822,2.03,
WBHW,01-03-2008  6:00:00 PM,vertical,0.15943,,
WBHW,01-03-2008  9:00:00 AM,25cm,0.12804,,
WBHW,01-03-2008  9:00:00 AM,10cm,0.13865,2.03,
WBHW,01-03-2008  9:00:00 AM,vertical,0.15986,,
WBHW,01-03-2008  9:00:00 PM,25cm,0.12762,,
WBHW,01-03-2008  9:00:00 PM,10cm,0.13822,2.03,
WBHW,01-03-2008  9:00:00 PM,vertical,0.15943,,
WBHW,01-03-2009  12:00:00 AM,25cm,0.13101,,
WBHW,01-03-2009  12:00:00 AM,10cm,0.14925,1.17,
WBHW,01-03-2009  12:00:00 AM,vertical,0.1747,,
WBHW,01-03-2009  12:00:00 PM,25cm,0.13059,,
WBHW,01-03-2009  12:00:00 PM,10cm,0.14756,1.17,
WBHW,01-03-2009  12:00:00 PM,vertical,0.17386,,
WBHW,01-03-2009  3:00:00 AM,25cm,0.13101,,
WBHW,01-03-2009  3:00:00 AM,10cm,0.14883,1.17,
WBHW,01-03-2009  3:00:00 AM,vertical,0.1747,,
WBHW,01-03-2009  3:00:00 PM,25cm,0.13016,,
WBHW,01-03-2009  3:00:00 PM,10cm,0.1484,1.17,
WBHW,01-03-2009  3:00:00 PM,vertical,0.17386,,
WBHW,01-03-2009  6:00:00 AM,25cm,0.13059,,
WBHW,01-03-2009  6:00:00 AM,10cm,0.1484,1.17,
WBHW,01-03-2009  6:00:00 AM,vertical,0.17428,,
WBHW,01-03-2009  6:00:00 PM,25cm,0.13016,,
WBHW,01-03-2009  6:00:00 PM,10cm,0.14756,1.17,
WBHW,01-03-2009  6:00:00 PM,vertical,0.17301,,
WBHW,01-03-2009  9:00:00 AM,25cm,0.13059,,
WBHW,01-03-2009  9:00:00 AM,10cm,0.1484,1.17,
